State,PercentPeopleWhoBoughtOnline,StateCode
California,56.50%,CA
Washington,55.30%,WA
Massachusetts,54.70%,MA
District of Columbia,53.40%,DC
Virginia,53.00%,VA
New Jersey,52.70%,NJ
Rhode Island,52.50%,RI
New Hampshire,52.20%,NH
Delaware,52.10%,DE
Connecticut,52.10%,CT
New York,51.60%,NY
Maryland,51.60%,MD
Illinois,50.70%,IL
Pennsylvania,50.70%,PA
Colorado,50.30%,CO
Minnesota,49.50%,MN
Oregon,49.30%,OR
Wisconsin,48.90%,WI
Maine,48.80%,ME
Georgia,48.60%,GA
Arizona,48.30%,AZ
Vermont,48.10%,VT
Utah,47.90%,UT
Hawaii,47.60%,HI
Texas,47.00%,TX'
Michigan,46.90%,MI
Ohio,46.70%,OH
Florida,46.50%,FL
North Carolina,46.40%,NC
Indiana,46.30%,IN
Kentucky,46.20%,KY
Iowa,46.10%,IA
Nebraska,45.70%,NE
Missouri,45.50%,MO
Nevada,45.10%,NV
Kansas,44.60%,KS
Idaho,44.50%,ID
West Virginia,44.10%,WV
South Carolina,43.60%,SC
North Dakota,43.40%,ND
Alaska,42.50%,AK
Alabama,42.50%,AL
Tennessee,41.30%,TN
Montana,41.20%,MT
Oklahoma,40.30%,OK
New Mexico,40.20%,NM
South Dakota,40.10%,SD
Arkansas,40.00%,AS
Louisiana,39.80%,LA
Mississippi,39.10%,MI
Wyoming,38.00%,WY