State,Income
Maryland,"$97,332 "
District of Columbia,"$90,640 "
New Hampshire,"$88,841 "
New Jersey,"$88,559 "
Utah,"$87,649 "
Washington,"$87,648 "
Massachusetts,"$86,566 "
Colorado,"$84,954 "
Hawaii,"$82,199 "
Oregon,"$81,855 "
California,"$81,575 "
Alaska,"$81,133 "
Connecticut,"$80,958 "
Minnesota,"$80,441 "
Virginia,"$80,268 "
Illinois,"$79,253 "
Nebraska,"$78,109 "
Idaho,"$76,918 "
Vermont,"$76,079 "
Kansas,"$75,979 "
Rhode Island,"$74,982 "
South Dakota,"$73,893 "
New York,"$72,920 "
Pennsylvania,"$72,627 "
Iowa,"$72,429 "
Maine,"$71,139 "
Wyoming,"$71,052 "
Arizona,"$70,821 "
Indiana,"$70,190 "
Wisconsin,"$69,943 "
North Dakota,"$68,882 "
Delaware,"$68,687 "
Texas,"$67,404 "
Montana,"$64,999 "
Michigan,"$64,488 "
Nevada,"$64,340 "
Missouri,"$63,594 "
North Carolina,"$62,891 "
Ohio,"$62,689 "
South Carolina,"$62,542 "
Tennessee,"$62,166 "
Georgia,"$61,497 "
Oklahoma,"$60,096 "
Florida,"$59,734 "
Louisiana,"$57,206 "
Alabama,"$56,929 "
Kentucky,"$55,629 "
New Mexico,"$53,463 "
Arkansas,"$50,784 "
West Virginia,"$46,836 "
Mississippi,"$46,637 "