MI,PA,WI,GA,NC,AZ,NV,#/70K,Default Harris EV,Simmed Harris EC%
D,D,D,D,D,D,D,15273,317,100%
R,R,R,R,R,R,R,13912,226,0%
D,D,D,D,D,R,D,3146,306,100%
D,D,D,R,R,R,D,2769,276,99%
R,R,R,R,R,R,D,2765,232,0%
D,D,D,R,D,D,D,2701,302,100%
D,D,D,R,R,D,D,2103,287,100%
D,D,D,R,D,R,D,1641,291,100%
D,D,D,R,R,R,R,1504,270,86%
D,D,D,D,D,R,R,1287,300,100%
R,R,D,R,R,R,R,1276,236,0%
D,R,R,R,R,R,R,1228,241,0%
D,R,D,R,R,R,D,1062,257,2%
D,R,D,R,R,R,R,974,251,1%
D,R,R,R,R,R,D,841,247,1%
D,D,D,R,D,R,R,837,285,99%
D,D,D,D,R,D,D,820,302,100%
R,D,R,R,R,R,R,732,245,1%
R,R,D,R,R,R,D,712,242,1%
D,D,D,D,R,R,D,706,291,100%
R,R,R,D,R,R,R,614,241,1%
R,D,D,R,R,R,R,579,255,1%
D,D,R,R,R,R,D,577,266,5%
R,D,D,R,R,R,D,564,261,4%
R,D,R,R,R,R,D,510,251,3%
D,D,R,R,R,R,R,445,260,1%
D,D,R,D,D,D,D,362,307,100%
D,R,D,R,R,D,D,359,268,52%
D,D,D,D,D,D,R,347,311,100%
R,R,R,R,R,D,D,340,243,4%
D,D,R,D,D,R,D,328,296,100%
R,R,R,D,D,R,R,297,256,11%
D,D,D,D,R,R,R,291,285,100%
R,R,R,D,R,R,D,283,247,7%
D,R,D,D,D,R,D,265,287,98%
R,D,D,R,R,D,D,252,272,96%
D,D,R,D,D,R,R,246,290,99%
D,D,R,R,R,D,D,222,277,95%
D,R,D,D,D,D,D,207,298,100%
D,R,D,D,D,R,R,202,281,97%
R,R,R,R,D,R,R,194,241,2%
D,R,R,D,R,R,R,192,256,2%
D,R,D,R,D,R,D,190,272,94%
D,R,R,D,R,R,D,185,262,8%
D,R,D,D,R,R,D,179,272,89%
D,R,R,R,R,D,D,176,258,14%
D,D,R,D,R,R,D,172,281,97%
D,R,D,R,D,R,R,170,266,27%
D,R,R,D,D,R,R,167,271,58%
R,D,D,D,D,D,D,154,302,100%
R,R,D,R,R,D,D,152,253,11%
D,R,R,D,D,R,D,151,277,91%
D,R,D,D,R,R,R,136,266,16%
R,D,R,R,R,D,D,134,262,17%
R,D,D,R,D,R,R,133,270,83%
R,R,R,D,D,R,D,129,262,29%
R,D,R,D,D,R,R,128,275,81%
R,D,D,D,D,R,D,123,291,100%
D,R,D,R,D,D,D,122,283,100%
R,D,D,R,D,R,D,120,276,100%
R,D,D,D,D,R,R,117,285,99%
D,D,R,D,R,R,R,115,275,93%
D,D,R,R,D,R,D,109,281,98%
R,D,R,D,D,R,D,109,281,98%
D,D,R,R,D,R,R,104,275,98%
D,D,R,D,R,D,D,103,292,100%
R,D,R,D,D,D,D,100,292,100%
R,R,D,R,D,R,R,100,251,2%
D,D,D,R,D,D,R,100,296,100%
R,R,R,D,D,D,D,99,273,87%
D,R,R,R,D,R,R,98,256,5%
R,R,R,R,D,R,D,98,247,5%
D,D,R,R,D,D,D,95,292,100%
D,R,D,D,R,D,D,95,283,98%
R,D,D,R,D,D,D,91,287,100%
R,D,R,R,D,R,R,90,260,4%
R,D,R,D,R,R,R,90,260,8%
D,D,D,R,R,D,R,87,281,100%
R,R,D,D,R,R,R,86,251,5%
R,R,R,D,R,D,D,86,258,52%
R,D,R,D,R,R,D,79,266,19%
R,R,D,D,D,R,R,78,266,35%
D,R,R,D,D,D,D,77,288,100%
R,D,D,D,R,R,D,76,276,99%
D,R,R,R,D,R,D,69,262,10%
R,R,D,R,D,R,D,66,257,5%
R,D,R,R,D,R,D,65,266,17%
D,R,R,D,R,D,D,62,273,87%
R,D,D,D,R,R,R,58,270,81%
R,R,D,D,D,R,D,58,272,88%
R,R,D,D,R,R,D,54,257,4%
R,D,R,D,R,D,D,48,277,96%
R,D,D,D,R,D,D,46,287,100%
R,R,R,R,R,D,R,36,237,3%
D,R,R,R,D,D,D,33,273,85%
R,D,D,D,D,D,R,28,296,100%
R,R,D,D,D,D,D,28,283,100%
R,R,R,R,D,D,D,28,258,32%
R,D,R,R,D,D,D,27,277,96%
D,D,D,D,R,D,R,25,296,100%
R,D,D,R,R,D,R,22,266,36%
D,D,R,D,D,D,R,22,301,100%
D,R,D,R,R,D,R,19,262,32%
D,R,D,D,D,D,R,19,292,95%
R,R,D,D,R,D,D,18,268,44%
R,D,R,D,D,D,R,16,286,100%
R,R,R,D,D,D,R,15,267,53%
R,R,D,R,R,D,R,15,247,0%
D,D,R,R,R,D,R,15,271,93%
R,R,D,R,D,D,D,12,268,67%
R,D,D,R,D,D,R,12,281,92%
R,D,R,R,R,D,R,12,256,17%
D,R,D,D,R,D,R,11,277,82%
D,R,R,R,R,D,R,11,252,0%
R,R,R,D,R,D,R,10,252,0%
D,R,D,R,D,D,R,9,277,89%
D,R,R,D,D,D,R,9,282,100%
R,D,R,R,D,D,R,8,271,63%
D,D,R,D,R,D,R,8,286,100%
R,R,D,R,D,D,R,8,262,25%
R,R,D,D,D,D,R,6,277,100%
D,R,R,D,R,D,R,5,267,0%
R,D,D,D,R,D,R,5,281,100%
D,D,R,R,D,D,R,4,286,100%
R,D,R,D,R,D,R,3,271,100%
R,R,D,D,R,D,R,3,262,33%
D,R,R,R,D,D,R,2,267,0%
R,R,R,R,D,D,R,2,252,0%